val,meta
0xdb5485c85bd95f38f9def0ca85499ef67dc581c0,482
0xaaa2da255df9ee74c7075bcb6d81f97940908a5d,251
0xe2a83b15fc300d8457eb9e176f98d92a8ff40a49,214
0xdbfd76af2157dc15ee4e57f3f942bb45ba84af24,158
0x29469395eaf6f95920e59f858042f0e28d98a20b,146
0x020ca66c30bec2c4fe3861a94e4db4a498a35872,138
0xfaf5137f19f0f30aece41e08f77ea274490f0386,126
0x08c1ae7e46d4a13b766566033b5c47c735e19f6f,86
0x98e711f31e49c2e50c1a290b6f2b1e493e43ea76,77
0xf090eb4c2b63e7b26e8bb09e6fc0cc3a7586263b,50
0x7eb413211a9de1cd2fe8b8bb6055636c43f7d206,49
0xf02e86d9e0efd57ad034faf52201b79917fe0713,32
0x720a4fab08cb746fc90e88d1924a98104c0822cf,31
0x7a9fe22691c811ea339d9b73150e6911a5343dca,31
0xe3199072644455d19f58b1fd8106ac80b3d2e780,31
0xd66f8eaf84b11654a19126a98a3f55b960846dd8,28
0xf22742f06e4f6d68a8d0b49b9f270bb56affab38,28
0x1cfb8a2e4c2e849593882213b2468e369271dad2,27
0xca1257ade6f4fa6c6834fdc42e030be6c0f5a813,26
0xd007058e9b58e74c33c6bf6fbcd38baab813cbb6,24
0x122b19a4be93d7c2b4522ebf7eb3f1b5b0343b2f,20
0x5ceff23a72431c69fb7f0e035d98b02fd27441b5,20
0x6c8ee01f1f8b62e987b3d18f6f28b22a0ada755f,20
0x3f703546e6af3e06d5a1653a352f0a05744d1928,19
0xe52cec0e90115abeb3304baa36bc2655731f7934,18
0x1b523dc90a79cf5ee5d095825e586e33780f7188,16
0x55e94e836f312d98171eff73146926a5fa2a3b25,16
0x8252df1d8b29057d1afe3062bf5a64d503152bc8,16
0x8d8b9c79196f32161bcb2a9728d274b3b45eb9af,16
0xa37fbd2264b48ed56dd7de8b9b83db35561700ef,16
0x424929525a9f36897cdd3235023c13a2ea7d7218,15
0x6d5a7597896a703fe8c85775b23395a48f971305,15
0x8f3c6aab1f3b29f61bf860cb766ce0f6f2477935,15
0x951da59c1f29d11990c1307301a44608688d99ec,15
0xf696ab3e4f9d52482b8350ffae67d21fda78e601,15
0x4b1e684d5143eb7435e5d78385fa8cbdccd8f7ec,14
0x65d614757e87447355d9600852ba7d7851c8dc9d,14
0x862a49a8cb70036fccf7c8af0d2cc50fe5e3907c,14
0xb50edc59d7554d21a5a16b5a128bfcaf1279f2f0,14
0xd611a3350321558bda7d15da88e4b74eaf4c8986,14
0x27677a95f17de170fd4cbac47712784fa3be4d02,13
0x6b4df334368b09f87b3722449703060eef284126,13
0x840de9986997435983f3d827df933638f1ed23d7,13
0xc883a79e8e4594c4f89434edb754a10da2311139,13
0x4918fc71bd92f262c4d2f73804fa805de8602743,12
0x82d30797cc1b191dcdebc6c2befe820ec8efe9cb,12
0xab72c96b990f9baa23ae12b4ff25b29f8181ddfe,12
0xe25c27bce83ebd65f24aadb171ad544e5d41ff1e,12
0xec0b510f89c910b76ddc6c58f767b4813436b9bd,12
0x2e9f90c0c2db946ef6285df5aa070934a1ce25b2,11
0x6535d6c4ec50744ad02ded995592bf8421d10c67,11
0x7811c6a535ddff8f86bfdeade882e744bc9fe380,11
0xc6021b536a50f8c3b5ed7e13a31a8bcf232c1688,11
0xd4b06218c545c047ac3acc7ce49d124c172db409,11
0xe1bf8839930b173a97ac29dc33c7774416517811,11
0xeee22b68f93e130535d1d56c1b95bf22c94090e0,11
0x0a2a335b7420db3bada6a13e354d465a3d6de2a4,10
0x0e98493285d6abb9e2979c9a117c5c2eb4ee3737,10
0x1c593c369136264abfb908b4b20e74c9a5949417,10
0x2c74fd427e36a5c22f164093147eace027ec5706,10
0x36dac8c9d9ba6ecf704462ba24f7a136c180f209,10
0x3f17244f636f12e4324717ba47848be81d6bcb35,10
0x41963e09247348110f9b25300b0b6652f67a4bee,10
0x56679538e0b25ecc39e46462248060822ccf69cf,10
0x6ccd607e6e2cc97574acd5ab0f2b4d24c7f2a061,10
0x9564bbb66754b0765d3579c0a41534d4a2fe6a68,10
0x9cbd7d0a64c87a2561b4b8a4975f7a0e6d3a7903,10
0xb88f61e6fbda83fbfffabe364112137480398018,10
0xc6a7463a7ee700d035aff7bfd1ee198d680a4164,10
0xd15e9e10cc7fd71a07821ffc3224cfdd397cbf1a,10
0xdfab977372a039e78839687b8c359465f0f17532,10
0x2d96951130d674cf34600c3065c6edb0ae446186,9
0x4ce8337424fab98500b48ba022d56cb25a4d088b,9
0x816bda24c673d694f7967f572d21558c97566c59,9
0x822d3c3d8ed080a041f861c2476f583e234920bb,9
0x97d1dbf04364163b3b26efba2f704dec1e2ffac4,9
0x9b37bc499de5e675063695211618f3cd64a1b9fc,9
0xf3f1984383a3fbb66898b846dc23602c04a9e56f,9
0xf4e423ce220e4d9fedcfebcd755ff9d37dc244b2,9
0x11b3637ab509bd5f177d1382c8faf41585edd108,8
0x4c05908d02467840c3bdb9c1848f3c13090eabdf,8
0x8481be8cf9d472ee513aaa850702ee37fe27c063,8
0x8c263cf199881bb0cc9b66b50dd7d96212a26c1a,8
0x9273eb21bc9854d0e06432b5b8c7634ba824ae49,8
0x93ca6ea0d4d8d066e6417e3e7eb983148a306858,8
0x9ff5b690ce21edcae135648f7adb26c20f730761,8
0xb28fc349b02d30ff42fbdb9a1234c11a7e1bab44,8
0xea70cf0e7d6b20ff329793fa9cad9d6551095688,8
0xf5fc47d625d15ba7d6b662a2cd81d1e31beca9e1,8
0xfd89a89c6102f9250a8df6db909c73f169af7d76,8
0x101842ac3acc849f2507339cb8406ffce508b708,7
0x2027bd5169cc0171194d77fa92eff0b0b76e7c65,7
0x250df19c5af798694762a76b389b4e19c5f6a1c8,7
0x3b0c3da5da1041400ce8917b698a0fb83a0b4467,7
0x4a8bdd15bdb8b1ab534d39c9f8d65a36011029f4,7
0x6171d7e0bd0355f6f212b7240bf6a94bb1293f60,7
0x8d48e5794e054001db3dc5c9e94050299e6d1636,7
0x951dd3758f51d12c8c1d280e194d369c71fedf7e,7
0xa0a8669028898b9e03abba675fc8cadaf2945ba9,7
0xa21a744957e0a483cfc2cebd312c2aeb24d53397,7
0xa477803db91cb844d67742427e3573a9e8d19993,7
0xa4d3786210a59cc113eedf5a30e1358ed9befa2a,7
0xa6d3a33a1c66083859765b9d6e407d095a908193,7
0xa7e5878542aea47c2e9bc72e30d409367c255bb6,7
0xbb26a6da4d918682f58cc91bd3fb251dd28549d2,7
0xf24649899edb01a223a8d4c899b66d35f655a735,7
